time,low,high,open,close,volume
1539043200,6589.39,6657.0,6650.07,6631.79,32204.25
1539129600,6487.86,6633.22,6631.79,6581.07,49264.39
1539216000,6171.95,6581.59,6581.07,6209.47,104258.49
1539302400,6173.86,6296.56,6209.47,6250.85,46195.91
1539388800,6238.92,6280.73,6252.1,6267.27,21914.85
1539475200,6247.17,6346.56,6267.27,6277.73,34130.1
1539561600,6244.77,7234.83,6277.73,6612.36,177320.05
1539648000,6545.54,6724.91,6612.69,6583.05,49191.34
1539734400,6511.6,6589.2,6583.05,6574.52,33538.55
1539820800,6445.05,6616.27,6576.4,6488.72,50725.31
1539907200,6449.36,6503.09,6489.37,6469.28,36599.64
1539993600,6395.45,6645.2,6469.28,6490.56,19543.75
1540080000,6474.47,6557.39,6490.6,6509.87,16019.49
1540166400,6460.38,6531.23,6509.87,6483.23,31239.03
1540252800,6438.99,6496.2,6484.32,6470.22,34071.62
1540339200,6465.73,6538.35,6470.63,6476.25,34111.66
1540425600,6432.3,6497.9,6476.52,6462.77,35706.92
1540512000,6441.81,6514.0,6462.77,6457.21,33284.54
1540598400,6445.95,6479.0,6457.21,6470.17,19092.86
1540684800,6444.74,6483.24,6470.17,6470.74,16806.73
1540771200,6282.58,6483.39,6470.74,6313.91,53760.53
1540857600,6286.3,6340.68,6314.38,6309.11,42701.22
1540944000,6241.49,6391.25,6309.11,6342.61,38823.41
1541030400,6322.6,6402.59,6342.81,6381.3,31397.71
1541116800,6371.57,6420.93,6381.3,6394.66,27987.6
1541203200,6336.96,6398.09,6394.65,6376.32,28808.38
1541289600,6351.92,6498.16,6376.55,6467.05,27317.02
1541376000,6406.69,6475.8,6467.05,6433.74,24142.0
1541462400,6412.56,6482.81,6433.53,6479.72,37162.36
1541548800,6476.59,6562.79,6479.72,6529.68,55100.44
1541635200,6438.27,6542.42,6530.94,6446.06,42073.45
1541721600,6352.45,6457.97,6446.06,6377.99,37086.04
1541808000,6376.17,6419.92,6377.99,6396.37,14658.42
1541894400,6326.38,6414.18,6396.39,6408.18,20337.03
1541980800,6350.87,6435.41,6408.18,6375.08,28338.62
1542067200,6315.58,6389.43,6375.08,6339.17,35761.27
1542153600,5469.93,6375.7,6339.17,5741.47,178422.8
1542240000,5300.75,5767.06,5740.51,5647.5,147895.07
1542326400,5487.87,5676.54,5647.5,5586.27,71050.83
1542412800,5524.7,5602.01,5586.97,5568.94,29517.8
1542499200,5567.95,5701.35,5567.95,5615.26,41702.04
1542585600,4757.01,5615.98,5615.26,4809.62,207964.38
1542672000,4168.25,4953.56,4809.62,4441.81,315023.21
1542758400,4315.58,4689.55,4441.81,4593.04,152286.19
1542844800,4297.21,4640.72,4593.04,4320.68,83715.43
1542931200,4157.19,4419.48,4320.68,4343.42,121719.16
1543017600,3741.2,4432.0,4343.42,3854.11,123090.79
1543104000,3550.04,4165.93,3854.11,4004.15,213926.98
1543190400,3598.81,4124.7,4004.46,3784.59,185985.76
1543276800,3613.11,3878.9,3784.77,3822.99,147999.31
1543363200,3822.94,4398.57,3822.99,4263.55,175435.76
1543449600,4130.68,4444.39,4263.52,4286.69,112103.36
1543536000,3916.3,4331.07,4286.85,4009.67,121993.57
1543622400,3942.62,4309.65,4009.67,4197.46,67774.58
1543708800,4077.67,4318.79,4197.7,4143.86,62748.83
1543795200,3795.18,4159.01,4143.86,3871.41,107400.61
1543881600,3770.92,4082.68,3871.41,3948.44,94655.27
1543968000,3719.19,3961.8,3948.44,3737.53,83811.55
1544054400,3467.92,3883.43,3737.53,3485.18,159523.77
1544140800,3248.0,3576.11,3485.18,3420.57,206088.47
1544227200,3295.21,3602.49,3420.57,3461.07,104091.14
1544313600,3436.5,3718.58,3461.07,3592.84,83347.79
1544400000,3416.77,3645.49,3592.84,3467.16,81855.33
1544486400,3348.98,3483.58,3467.16,3401.02,67519.71
1544572800,3380.48,3545.37,3401.02,3485.59,74415.95
1544659200,3272.81,3493.76,3485.59,3305.11,84592.04
1544745600,3180.97,3333.24,3305.11,3235.48,89133.43
1544832000,3169.53,3271.76,3235.48,3232.51,51317.37
1544918400,3227.4,3319.83,3232.51,3255.37,45102.51
1545004800,3239.06,3639.65,3255.37,3548.19,119831.24
1545091200,3481.46,3727.99,3548.19,3715.85,91609.53
1545177600,3693.57,3969.7,3715.85,3736.54,163016.15
1545264000,3712.82,4225.52,3736.54,4137.66,180025.9
1545350400,3831.2,4247.71,4137.66,3898.81,128508.13
1545436800,3849.23,4060.34,3898.81,4045.24,63672.55
1545523200,3972.39,4117.65,4045.24,4007.63,58294.45
1545609600,4006.6,4303.37,4007.63,4081.95,109869.44
1545696000,3734.85,4094.61,4081.95,3834.73,95683.55
1545782400,3746.86,3923.93,3834.73,3848.78,68965.06
1545868800,3622.39,3888.92,3848.78,3646.09,81652.77
1545955200,3628.43,4007.71,3646.09,3947.86,92882.41
1546041600,3774.38,4004.14,3947.86,3797.06,54702.16
1546128000,3760.8,3925.18,3797.06,3896.21,49797.04
1546214400,3701.48,3904.28,3896.21,3747.39,54221.49
1546300800,3696.94,3938.75,3747.39,3880.15,45104.29
1546387200,3826.29,3989.59,3880.15,3961.01,54034.73
1546473600,3778.76,3965.52,3961.01,3835.86,45585.19
1546560000,3783.88,3901.65,3835.86,3874.06,44398.9
1546646400,3841.13,3926.92,3874.06,3855.39,35766.65
1546732800,3829.09,4145.16,3855.39,4102.85,58878.99
1546819200,4001.35,4132.62,4102.85,4050.4,51541.23
1546905600,3990.34,4156.16,4050.4,4040.75,65973.5
1546992000,4013.0,4092.91,4040.75,4048.34,55130.13
1547078400,3631.07,4085.09,4048.34,3668.15,108277.01
1547164800,3616.41,3729.69,3668.15,3669.2,63070.18
1547251200,3611.2,3692.12,3669.2,3664.38,28343.28
1547337600,3528.24,3675.2,3664.38,3551.24,45682.73
1547424000,3544.53,3748.88,3551.24,3703.9,56099.99
1547510400,3590.49,3724.3,3703.9,3621.24,54154.65
1547596800,3611.38,3704.37,3621.24,3643.99,53843.55
1547683200,3586.92,3695.28,3643.99,3685.3,46181.32
1547769600,3620.44,3685.39,3685.3,3648.05,32418.99
1547856000,3643.01,3799.62,3648.05,3729.78,38341.35
1547942400,3529.25,3754.65,3729.78,3567.73,49198.37
1548028800,3535.19,3599.83,3567.73,3571.92,36101.4
1548115200,3473.77,3635.69,3571.92,3602.04,53586.91
1548201600,3543.96,3631.15,3602.04,3572.05,37910.4
